District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Defiance City,23710054.689999998,Defiance,95.8,54811.0,15.0,2.0,155.0,155.0,100.0,95.0,61.5,1012.0,1012.0,100.0,1012.0,100.0,0.0,0.0,1.0,1.0,6.0,2.44561843,0.0,0.0,2.0,0.81520614,0.0,0.0,5.46,2.22551277,0.0,0.0,0.0,0.0,1.0,0.40760307,116.62,47.5346702,2.0,0.81520614,20.75,8.45776375,5.83,2.37632591,1.0,0.40760307,8.0,3.26082457,9.0,3.66842765,8.2,3.34234519,0.0,0.0,0.0,0.0,3.0,1.22280921,0.0,0.01204819,0.71084337,0.19879518,0.07831325,0.0,0.0,0.0,1.0,0.0
Delaware City,54484300.55,Delaware,95.0,62012.0,12.0,5.0,311.0,310.0,99.7,214.0,68.7,1513.0,1495.0,98.8,1486.0,98.2,0.0,0.0,1.0,0.88,12.0,2.20132249,3.64,0.66773449,4.0,0.73377416,0.0,0.0,10.9,1.99953459,0.0,0.0,0.0,0.0,1.0,0.18344354,224.84,41.2454457,2.0,0.36688708,58.61,10.7516259,3.0,0.55033062,3.0,0.55033062,10.5,1.92615718,11.0,2.01787895,12.0,2.20132249,2.0,0.36688708,0.0,0.0,5.0,0.9172177,0.0,0.0,0.39252336,0.6012461,0.00623053,0.0,0.0,0.0,1.0,0.0
Delphos City,10018083.31,Allen,97.2,54923.0,15.0,0.0,62.0,62.0,100.0,47.0,75.7,350.0,341.0,97.4,341.0,97.4,0.0,0.0,1.0,0.5,3.0,3.0,0.6,0.6,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,46.14,46.14,2.0,2.0,10.17,10.17,1.85,1.85,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.32307692,0.67692307,0.0,0.0,0.0,0.33333333,0.66666666,0.0
Dover City,24937181.47,Tuscarawas,96.1,59466.0,16.0,14.0,157.0,154.0,98.1,104.0,65.9,779.0,772.0,99.1,772.0,99.1,0.0,0.0,1.0,1.0,3.0,1.08268619,1.0,0.36089539,0.0,0.0,0.0,0.0,2.88,1.03937875,0.0,0.0,0.0,0.0,0.0,0.0,110.5,39.8789416,0.0,0.0,12.0,4.33074479,15.95,5.75628161,1.0,0.36089539,5.0,1.80447699,7.0,2.52626779,7.0,2.52626779,0.0,0.0,0.0,0.0,4.0,1.44358159,0.0,0.0,0.14970059,0.8502994,0.0,0.0,0.0,0.0,1.0,0.0
East Cleveland City School District,42169645.620000005,Cuyahoga,93.3,68704.0,15.0,2.0,170.0,167.0,98.2,120.0,70.6,660.0,655.0,99.2,655.0,99.2,0.0,0.0,1.0,1.0,4.0,1.85228271,3.0,1.38921203,12.0,5.55684815,0.0,0.0,2.0,0.92614135,0.0,0.0,1.0,0.46307067,2.0,0.92614135,88.0,40.7502197,13.0,6.01991883,51.62,23.9037084,1.0,0.46307067,5.0,2.31535339,5.99,2.77379337,5.99,2.77379337,6.99,3.23686404,0.0,0.0,0.0,0.0,4.84,2.24126208,0.0,0.15384615,0.72435897,0.08333333,0.03846153,0.08333333,0.66666666,0.25,0.0,0.0
East Liverpool City,26278427.3,Columbiana,93.3,51842.0,10.0,0.0,144.0,143.0,99.3,79.0,54.4,653.0,645.0,98.8,636.0,97.4,0.0,0.0,1.0,1.0,6.0,2.85603955,2.0,0.95201318,3.0,1.42801977,0.0,0.0,4.0,1.90402636,0.0,0.0,0.0,0.0,0.0,0.0,99.5,47.3626558,11.0,5.23607251,26.41,12.571334,12.0,5.7120791,2.0,0.95201318,4.5,2.14202966,3.5,1.66602307,3.0,1.42801977,0.0,0.0,0.0,0.0,3.0,1.42801977,0.0,0.01863354,0.50310559,0.39751552,0.08074534,0.0,0.0,1.0,0.0,0.0
East Palestine City,11112550.129999999,Columbiana,95.3,90312.0,26.0,0.0,42.0,42.0,99.1,22.0,52.4,302.0,297.0,98.3,279.0,92.4,0.0,0.0,1.0,1.0,1.0,0.95786631,1.0,0.95786631,0.0,0.0,0.0,0.0,1.0,0.95786631,0.0,0.0,0.0,0.0,0.0,0.0,31.05,29.741749,0.0,0.0,9.55,9.1476233,0.0,0.0,0.6,0.57471978,1.0,0.95786631,1.0,0.95786631,2.0,1.91573262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.84722222,0.02777777,0.0,0.0,0.0,1.0,0.0
Eaton Community City,20413855.259999998,Preble,95.2,56252.0,15.0,1.0,123.0,123.0,100.0,80.0,65.3,502.0,500.0,99.6,500.0,99.6,0.0,0.0,1.0,1.0,5.0,2.55748184,5.0,2.55748184,1.0,0.51149636,2.0,1.02299273,5.0,2.55748184,0.0,0.0,0.0,0.0,0.0,0.0,92.34,47.2315746,2.0,1.02299273,6.41,3.27869172,0.0,0.0,1.0,0.51149636,5.0,2.55748184,8.0,4.09197094,7.0,3.58047457,0.0,0.0,0.0,0.0,1.0,0.51149636,0.0,0.01680672,0.34453781,0.5210084,0.11764705,0.0,0.0,0.2,0.8,0.0
Elyria City Schools,66876297.72,Lorain,94.1,57547.0,12.0,2.0,415.0,413.0,99.5,267.0,64.5,2219.0,2215.0,99.8,2215.0,99.8,0.0,0.0,1.0,1.0,18.0,2.98182542,11.0,1.82222665,15.21,2.51964248,0.0,0.0,4.0,0.66262787,0.0,0.0,7.0,1.15959877,3.0,0.4969709,296.37,49.0957556,0.0,0.0,87.96,14.5711869,11.69,1.93652995,5.0,0.82828484,13.0,2.15354058,15.0,2.48485452,13.0,2.15354058,0.0,0.0,1.0,0.16565696,8.65,1.43293277,0.0,0.01758794,0.43467336,0.54271356,0.00502512,0.0,0.0,0.57142857,0.42857142,0.0
Euclid City,73692627.49,Cuyahoga,94.1,67195.0,11.0,4.0,367.0,358.0,97.5,244.0,66.3,1417.0,1408.0,99.4,1319.0,93.1,0.0,0.0,1.0,0.83,20.0,3.83296475,9.0,1.72483414,16.0,3.0663718,0.0,0.0,1.0,0.19164823,0.0,0.0,9.2,1.76316378,1.0,0.19164823,247.8,47.4904333,7.0,1.34153766,92.64,17.7542927,67.77,12.988001,4.0,0.76659295,12.0,2.29977885,15.8,3.02804216,11.0,2.10813061,0.0,0.0,0.0,0.0,7.0,1.34153766,0.0,0.02673796,0.27005347,0.6631016,0.04010695,0.0,0.0,0.0,1.0,0.0
Fairborn City,37509296.11,Greene,94.4,56376.0,16.0,6.0,250.0,250.0,100.0,159.0,63.8,1162.0,1162.0,100.0,1162.0,100.0,0.0,0.0,1.0,1.0,6.0,1.45135901,10.0,2.41893168,3.45,0.83453143,0.0,0.0,2.0,0.48378633,0.0,0.0,0.0,0.0,1.0,0.24189316,175.1,42.3554938,1.93,0.46685381,59.95,14.5014954,0.0,0.0,0.0,0.0,6.15,1.48764298,8.0,1.93514535,7.4,1.79000944,1.0,0.24189316,0.8,0.19351453,8.62,2.08511911,0.0,0.01214574,0.25506072,0.72874493,0.00404858,0.0,0.0,0.41666666,0.58333333,0.0
Fairview Park City,22765416.799999997,Cuyahoga,97.4,71714.0,15.0,1.0,112.0,112.0,100.0,69.0,61.4,774.0,772.0,99.7,772.0,99.7,0.0,0.0,1.0,1.0,3.9,2.22401887,0.0,0.0,1.95,1.11200943,0.0,0.0,3.67,2.09285878,0.0,0.0,0.0,0.0,0.0,0.0,77.38,44.1268155,0.95,0.54174818,21.72,12.3860743,20.88,11.9070549,1.2,0.6843135,4.92,2.80568535,4.1,2.33807112,4.49,2.56047301,1.0,0.57026125,0.0,0.0,2.0,1.1405225,0.00847457,0.0,0.34745762,0.63559322,0.00847457,0.0,0.0,0.5,0.5,0.0
Findlay City,63444881.57,Hancock,95.2,58952.0,12.0,22.0,346.0,339.0,98.0,191.0,55.2,1717.0,1717.0,100.0,1708.0,99.5,0.0,0.0,1.0,1.0,18.25,3.29268454,7.55,1.36217908,4.47,0.80648218,0.0,0.0,10.22,1.84390334,0.0,0.0,2.0,0.36084214,0.0,0.0,225.68,40.7174272,25.74,4.64403836,59.5,10.7350537,21.17,3.81951406,5.0,0.90210535,10.0,1.8042107,14.0,2.52589499,15.0,2.70631606,0.0,0.0,0.0,0.0,7.75,1.39826329,0.0,0.01305483,0.64490861,0.33681462,0.00522193,0.0,0.0,0.5,0.45,0.05
Fostoria City,18969649.79,Seneca,94.4,48986.0,13.0,0.0,121.0,120.0,99.2,70.0,57.5,598.0,598.0,100.0,598.0,100.0,0.0,0.0,1.0,1.0,6.0,3.32516825,1.67,0.92550516,3.0,1.66258412,0.0,0.0,3.0,1.66258412,0.0,0.0,1.0,0.55419471,0.0,0.0,88.37,48.9741865,2.0,1.10838942,23.45,12.9958659,8.34,4.62198388,2.5,1.38548677,4.12,2.2832822,4.75,2.63242487,3.52,1.95076537,0.0,0.0,0.0,0.0,2.5,1.38548677,0.0,0.125,0.6015625,0.203125,0.0703125,0.0,0.14285714,0.85714285,0.0,0.0
Franklin City,30895623.97,Warren,94.9,59138.0,13.0,0.0,181.0,181.0,100.0,126.0,69.6,1189.0,1189.0,100.0,1189.0,100.0,0.0,0.0,1.0,1.0,6.0,2.0907813,7.0,2.43924485,1.33,0.46345652,0.0,0.0,8.0,2.7877084,0.0,0.0,1.05,0.36588672,0.0,0.0,139.1,48.4712798,1.0,0.34846355,30.89,10.764039,17.0,5.92388035,0.0,0.0,5.0,1.74231775,5.0,1.74231775,6.11,2.12911229,0.0,0.0,0.0,0.0,2.0,0.6969271,0.0,0.01657458,0.40331491,0.57458563,0.00552486,0.0,0.0,0.6,0.4,0.0
Fremont City,41895543.01,Sandusky,96.0,56144.0,12.0,12.0,248.0,248.0,100.0,149.0,60.0,1360.0,1348.0,99.1,1346.0,99.9,0.0,0.0,1.0,1.0,12.0,3.16194413,7.0,1.8444674,2.0,0.52699068,0.0,0.0,8.0,2.10796275,0.0,0.0,0.0,0.0,1.0,0.26349534,179.41,47.2736997,0.0,0.0,42.36,11.1616627,0.0,0.0,5.0,1.31747672,10.0,2.63495344,10.0,2.63495344,13.2,3.47813854,0.0,0.0,0.0,0.0,6.0,1.58097206,0.0,0.03017241,0.45689655,0.43103448,0.08189655,0.0,0.07142857,0.57142857,0.35714285,0.0
Galion City,19021559.84,Crawford,94.6,50958.0,16.0,1.0,106.0,106.0,100.0,71.0,66.9,496.0,492.0,99.2,492.0,99.2,0.0,0.0,1.0,1.0,3.0,1.74839282,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.91398803,0.0,0.0,0.2,0.11655952,0.0,0.0,73.87,43.0512592,0.0,0.0,26.32,15.339233,8.0,4.66238085,0.0,0.0,2.5,1.45699401,2.38,1.3870583,3.49,2.03396364,0.0,0.0,0.0,0.0,3.2,1.86495234,0.0,0.00917431,0.44954128,0.5412844,0.0,0.0,0.0,0.5,0.5,0.0
Gallipolis City,20551742.67,Gallia,95.9,52629.0,16.0,1.0,132.0,131.0,99.2,97.0,73.5,601.0,599.0,99.7,597.0,99.3,0.0,0.0,1.0,1.0,3.0,1.47908821,4.5,2.21863232,0.0,0.0,0.0,0.0,4.86,2.3961229,0.0,0.0,0.0,0.0,0.0,0.0,82.68,40.7636711,0.0,0.0,37.11,18.2963212,30.0,14.7908821,0.13,0.06409382,4.0,1.97211761,5.0,2.46514702,6.5,3.20469112,0.0,0.0,0.0,0.0,3.68,1.8143482,0.0,0.0078125,0.4453125,0.546875,0.0,0.0,0.0,1.0,0.0,0.0
Garfield Heights City Schools,41076685.3,Cuyahoga,93.5,62404.0,8.0,16.0,244.0,244.0,100.0,121.0,49.7,1249.0,1242.0,99.4,1242.0,99.4,0.0,0.0,1.0,1.0,6.0,1.70399187,0.0,0.0,8.0,2.27198916,0.0,0.0,3.76,1.0678349,0.0,0.0,1.0,0.28399864,12.25,3.4789834,179.0,50.8357574,0.0,0.0,48.32,13.7228145,0.0,0.0,1.0,0.28399864,8.0,2.27198916,6.0,1.70399187,13.0,3.69198238,0.0,0.0,0.0,0.0,4.8,1.36319349,0.0,0.01632653,0.86122449,0.10612244,0.01632653,0.0,0.0,1.0,0.0,0.0
Geneva Area City,22299926.89,Ashtabula,92.8,58898.0,15.0,0.0,130.0,130.0,100.0,91.0,69.7,613.0,613.0,100.0,613.0,100.0,0.0,0.0,1.0,1.0,5.0,2.10548547,3.0,1.26329128,1.0,0.42109709,0.0,0.0,1.0,0.42109709,0.0,0.0,0.0,0.0,0.0,0.0,108.86,45.8406298,2.0,0.84219419,14.63,6.1606505,1.43,0.60216884,1.0,0.42109709,3.66,1.54121537,4.0,1.68438838,7.0,2.94767966,1.0,0.42109709,0.0,0.0,2.0,0.84219419,0.0,0.0,0.31506849,0.67808219,0.00684931,0.0,0.0,0.2,0.8,0.0
Girard City School District,16530205.04,Trumbull,94.5,53682.0,14.0,1.0,110.0,110.0,100.0,51.0,46.8,773.0,761.0,98.4,745.0,96.4,0.0,0.0,1.0,0.75,5.0,2.98854665,2.0,1.19541866,0.0,0.0,0.0,0.0,2.0,1.19541866,0.0,0.0,0.0,0.0,0.0,0.0,82.5,49.3110198,0.0,0.0,16.8,10.0415167,23.0,13.7473146,1.0,0.59770933,2.0,1.19541866,3.33,1.99037207,4.0,2.39083732,0.0,0.0,0.0,0.0,1.8,1.07587679,0.0,0.0,0.10280373,0.88785046,0.00934579,0.0,0.0,0.2,0.8,0.0
Grandview Heights Schools,17043664.55,Franklin,95.1,76209.0,14.0,6.0,82.0,82.0,100.0,67.0,81.7,412.0,408.0,99.0,408.0,99.9,0.0,0.0,1.0,1.0,5.0,4.69761387,1.0,0.93952277,2.0,1.87904554,0.0,0.0,2.0,1.87904554,0.0,0.0,0.0,0.0,0.0,0.0,58.0,54.4923209,0.0,0.0,11.85,11.1333448,1.79,1.68174576,2.0,1.87904554,4.0,3.75809109,4.0,3.75809109,3.0,2.81856832,0.0,0.0,0.0,0.0,2.0,1.87904554,0.0,0.0,0.12941176,0.67058823,0.2,0.0,0.0,0.0,1.0,0.0
Winton Woods City,48218736.730000004,Hamilton,93.7,62195.0,12.0,0.0,240.0,240.0,100.0,131.0,54.7,968.0,968.0,100.0,968.0,100.0,0.0,0.0,1.0,1.0,5.0,1.37595715,3.0,0.82557429,2.0,0.55038286,0.0,0.0,9.0,2.47672287,0.0,0.0,0.0,0.0,0.0,0.0,178.06,49.0005861,0.0,0.0,35.55,9.78305537,35.82,9.85735705,2.0,0.55038286,8.0,2.20153144,14.0,3.85268003,9.02,2.4822267,2.0,0.55038286,0.0,0.0,6.0,1.65114858,0.0,0.02553191,0.58297872,0.36170212,0.02978723,0.0,0.0,0.69230769,0.3076923,0.0
Greenville City,25346553.96,Darke,92.7,53263.0,12.0,1.0,172.0,168.0,97.7,105.0,60.8,641.0,641.0,100.0,641.0,100.0,0.0,0.0,1.0,1.0,14.0,5.63569974,4.0,1.61019992,2.0,0.80509996,0.0,0.0,3.5,1.40892493,0.0,0.0,0.0,0.0,0.0,0.0,123.53,49.7269992,0.5,0.20127499,18.0,7.24589967,0.0,0.0,1.0,0.40254998,7.0,2.81784987,7.0,2.81784987,7.0,2.81784987,0.0,0.0,0.0,0.0,3.1,1.24790494,0.0,0.06896551,0.92528735,0.0,0.00574712,0.0,0.0,1.0,0.0,0.0
Hamilton City,103231121.75999999,Butler,95.4,56082.0,10.0,3.0,573.0,569.0,99.3,270.0,47.1,2962.0,2962.0,100.0,2962.0,100.0,0.0,0.0,1.0,1.0,16.0,1.60884727,12.6,1.26696722,13.0,1.30718841,9.0,0.90497659,12.0,1.20663545,0.0,0.0,9.6,0.96530836,0.0,0.0,392.56,39.4730678,15.0,1.50829431,129.9,13.0618288,1.0,0.10055295,2.0,0.2011059,16.0,1.60884727,19.8,1.9909485,14.0,1.40774136,0.0,0.0,1.0,0.10055295,21.49,2.16088299,0.0,0.01149425,0.48932676,0.44991789,0.04926108,0.0,0.0,0.9032258,0.09677419,0.0
Heath City,16876288.04,Licking,93.7,52535.0,13.0,0.0,97.0,97.0,100.0,67.0,68.6,620.0,620.0,100.0,620.0,100.0,0.0,0.0,1.0,1.0,1.0,0.61814383,1.0,0.61814383,2.0,1.23628766,0.0,0.0,2.0,1.23628766,0.0,0.0,0.0,0.0,0.0,0.0,70.91,43.832579,0.0,0.0,18.13,11.2069476,14.0,8.65401363,0.1,0.06181438,4.02,2.4849382,3.5,2.1635034,2.77,1.71225841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13861386,0.64356435,0.21782178,0.0,0.0,0.0,1.0,0.0,0.0
Hillsboro City,25602931.98,Highland,94.2,47532.0,12.0,1.0,170.0,168.0,98.8,98.0,57.8,816.0,808.0,99.0,808.0,99.9,0.0,0.0,1.0,1.0,6.0,2.52104118,1.0,0.42017353,1.0,0.42017353,0.0,0.0,4.0,1.68069412,0.0,0.0,0.0,0.0,0.0,0.0,128.0,53.7822119,4.0,1.68069412,11.14,4.68073313,0.0,0.0,1.66,0.69748806,8.0,3.36138824,5.0,2.10086765,8.0,3.36138824,0.0,0.0,0.0,0.0,4.5,1.89078089,0.0,0.02285714,0.53142857,0.42857142,0.01714285,0.0,0.14285714,0.85714285,0.0,0.0
Huron City Schools,14315647.4,Erie,95.3,64624.0,15.0,0.0,78.0,78.0,100.0,46.0,59.7,489.0,489.0,100.0,489.0,100.0,0.0,0.0,1.0,0.79,2.25,1.64910853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,40.3115419,0.0,0.0,12.73,9.3302896,8.5,6.22996556,2.0,1.46587425,5.0,3.66468562,3.0,2.19881137,5.0,3.66468562,0.0,0.0,0.0,0.0,1.0,0.73293712,0.0,0.0,0.10975609,0.8902439,0.0,0.0,0.0,0.0,1.0,0.0
Ironton City,14639634.35,Lawrence,94.5,49052.0,18.0,0.0,91.0,91.0,100.0,50.0,54.5,347.0,346.0,99.7,346.0,99.7,0.0,0.0,1.0,1.0,5.0,3.66140715,3.0,2.19684429,0.0,0.0,0.0,0.0,2.0,1.46456286,0.0,0.0,0.0,0.0,0.0,0.0,69.12,50.6152925,4.0,2.92912572,10.74,7.86470257,0.0,0.0,0.0,0.0,2.0,1.46456286,3.0,2.19684429,3.12,2.28471806,0.0,0.0,0.0,0.0,4.0,2.92912572,0.0,0.0,0.32941176,0.67058823,0.0,0.0,0.0,0.6,0.4,0.0
Jackson City,24613610.060000002,Jackson,95.0,53219.0,12.0,0.0,166.0,166.0,100.0,96.0,57.8,859.0,850.0,99.0,850.0,99.9,0.0,0.0,1.0,1.0,4.05,1.70634127,1.33541044,0.56263357,0.14,0.05898463,0.0,0.0,4.0,1.68527532,0.0,0.0,0.0,0.0,0.0,0.0,127.91,53.8908918,1.0,0.42131883,32.0,13.4822026,0.0,0.0,0.6,0.25279129,54.0,22.7512169,4.0,1.68527532,53.0,22.3298981,0.0,0.0,0.0,0.0,2.0,0.84263766,0.00636942,0.0,0.45859872,0.52866242,0.00636942,0.0,0.0,0.57142857,0.42857142,0.0
Kent City,44916350.089999996,Portage,94.9,70891.0,14.0,0.0,247.0,246.0,99.6,140.0,56.7,1069.0,1069.0,100.0,1057.0,98.9,0.0,0.0,1.0,1.0,10.5,3.25558746,0.0,0.0,4.5,1.39525177,1.0,0.31005594,2.75,0.85265386,0.0,0.0,0.0,0.0,0.0,0.0,169.66,52.6040923,14.0,4.34078329,45.5,14.1075456,17.0,5.27095113,3.0,0.93016784,7.41,2.29751458,8.83,2.73779403,9.5,2.94553151,0.0,0.0,0.0,0.0,5.0,1.55027974,0.0,0.02066115,0.1983471,0.76033057,0.02066115,0.0,0.0,0.0,1.0,0.0
Kenton City,21088806.08,Hardin,94.4,50983.0,13.0,2.0,130.0,129.0,99.2,86.0,66.2,513.0,511.0,99.6,488.0,95.1,0.0,0.0,1.0,1.0,5.0,2.70100281,1.0,0.54020056,1.0,0.54020056,0.0,0.0,3.0,1.62060168,0.0,0.0,1.0,0.54020056,1.0,0.54020056,90.72,49.0069949,2.06,1.11281315,27.66,14.9419475,25.0,13.505014,0.0,0.0,6.0,3.24120337,6.0,3.24120337,8.0,4.32160449,0.0,0.0,0.0,0.0,4.61,2.49032459,0.0,0.04580152,0.44274809,0.51145038,0.0,0.0,0.0,0.5,0.5,0.0
Kettering City School District,95244059.28999999,Montgomery,95.5,65961.0,17.0,3.0,517.0,506.0,97.9,374.0,72.3,2117.0,2113.0,99.8,2113.0,99.8,0.0,0.0,1.0,1.0,23.0,3.0448335,12.6,1.66803922,6.0,0.79430439,1.0,0.13238406,20.58,2.72446407,0.0,0.0,5.0,0.66192032,0.0,0.0,318.05,42.104752,29.16,3.86031935,117.57,15.5643946,185.61,24.5718064,3.5,0.46334423,16.95,2.24390991,21.57,2.85552429,16.21,2.1459457,5.0,0.66192032,0.0,0.0,17.8,2.35643636,0.0,0.00614754,0.46311475,0.51639344,0.01434426,0.0,0.0,0.9047619,0.09523809,0.0
Lakewood City,69918429.67,Cuyahoga,94.7,73468.0,11.0,2.0,346.0,337.0,97.4,196.0,56.7,1694.0,1681.0,99.2,1677.0,99.9,0.0,0.0,1.0,1.0,8.0,1.56249833,9.6,1.874998,3.27,0.63867119,3.5,0.68359302,11.86,2.31640377,0.0,0.0,4.6,0.89843654,1.89,0.36914023,230.13,44.9472176,17.63,3.4433557,56.84,11.1015506,3.78,0.73828046,12.0,2.3437475,9.5,1.85546677,14.5,2.83202822,14.0,2.73437208,4.98,0.97265521,0.0,0.0,7.67,1.49804527,0.0,0.00267379,0.20588235,0.78877005,0.00267379,0.0,0.0,0.5625,0.4375,0.0
Lancaster City,64220686.57,Fairfield,95.4,59866.0,11.0,10.0,355.0,355.0,100.0,228.0,64.1,1700.0,1686.0,99.2,1686.0,99.2,0.0,0.0,1.0,1.0,7.0,1.09826934,12.0,1.88274744,6.0,0.94137372,2.0,0.31379124,8.0,1.25516496,0.0,0.0,4.8,0.75309897,5.0,0.7844781,238.23,37.3772436,17.0,2.66722554,72.18,11.3247258,1.0,0.15689562,2.0,0.31379124,11.06,1.73526556,12.0,1.88274744,14.56,2.28440023,1.0,0.15689562,1.0,0.15689562,9.1,1.42775014,0.0,0.0054945,0.68681318,0.3021978,0.0054945,0.0,0.0,0.6,0.3,0.1
Lebanon City,47465169.72,Warren,95.0,58647.0,13.0,1.0,266.0,263.0,98.9,161.0,60.6,1573.0,1573.0,100.0,1573.0,100.0,0.0,0.0,1.0,1.0,11.0,2.07603146,9.94,1.87597752,4.5,0.8492856,0.0,0.0,9.0,1.69857119,0.0,0.0,8.25,1.55702359,0.0,0.0,198.65,37.4912409,0.0,0.0,54.83,10.3480732,75.68,14.2830964,0.0,0.0,8.6,1.62307914,7.85,1.48153154,11.16,2.10622828,0.0,0.0,0.0,0.0,6.9,1.30223791,0.0,0.00724637,0.39130434,0.59420289,0.00724637,0.0,0.0,1.0,0.0,0.0
Lima City,47970835.23,Allen,95.3,50622.0,12.0,1.0,286.0,286.0,100.0,160.0,55.9,1106.0,1103.0,99.7,1102.0,99.6,0.0,0.0,1.0,1.0,8.0,2.15190262,9.0,2.42089045,2.0,0.53797565,0.0,0.0,8.86,2.38323215,0.0,0.0,5.0,1.34493913,6.0,1.61392696,169.22,45.5181202,12.0,3.22785393,64.5,17.3497148,6.0,1.61392696,3.0,0.80696348,16.0,4.30380524,16.0,4.30380524,14.0,3.76582958,0.0,0.0,0.0,0.0,8.0,2.15190262,0.00662251,0.09933774,0.46688741,0.41390728,0.01324503,0.0,0.25,0.625,0.0,0.125
Lockland Local,6652833.15,Hamilton,96.3,50879.0,10.0,0.0,37.0,37.0,100.0,17.0,45.5,209.0,182.0,87.1,182.0,87.1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.99,0.99,1.86,1.86,1.85,1.85,1.0,1.0,0.0,0.0,0.0,0.0,0.02564102,0.07692307,0.66666666,0.17948717,0.05128205,0.0,0.0,0.25,0.75,0.0
Logan-Hocking Local,39726561.730000004,Hocking,94.0,56273.0,14.0,13.0,225.0,225.0,100.0,147.0,65.3,1090.0,1090.0,100.0,1083.0,99.4,0.0,0.0,1.0,1.0,6.0,1.58485321,4.0,1.0565688,4.0,1.0565688,0.0,0.0,5.0,1.320711,0.0,0.0,5.0,1.320711,0.0,0.0,149.91,39.5975574,6.0,1.58485321,49.22,13.0010791,40.3,10.6449307,2.2,0.58111284,8.34,2.20294596,7.99,2.11049619,9.0,2.37727981,0.0,0.0,0.0,0.0,4.0,1.0565688,0.0,0.004329,0.29870129,0.69264069,0.004329,0.0,0.0,0.45454545,0.36363636,0.18181818
London City,19408107.25,Madison,94.9,54232.0,14.0,0.0,130.0,129.0,99.2,44.0,33.8,502.0,502.0,100.0,502.0,100.0,0.0,0.0,1.0,1.0,3.5,1.7291762,0.0,0.0,2.0,0.98810069,0.0,0.0,1.0,0.49405034,0.0,0.0,1.0,0.49405034,0.0,0.0,86.47,42.7205333,1.06,0.52369336,19.27,9.52035015,1.0,0.49405034,1.0,0.49405034,2.01,0.99304119,3.0,1.48215103,6.01,2.96924257,0.0,0.0,0.0,0.0,3.0,1.48215103,0.0,0.01574803,0.51968503,0.45669291,0.00787401,0.0,0.0,0.6,0.4,0.0
