District,OperatingExpenditures,County,Address,Superintendent,Prepared for Success Component Grade,Prepared for Success Percent,Number of Students Earning 1 Point,Number of Students Earning Bonus (0.3) Point,Honors Diploma Percent,Percent ACT/SAT Remediation Free,Percent Earning Industry Recognized Credentials,Percent Scoring 3+ on AP Test,Percent Scoring 4+ on IB Test,Percent Earning 3+ Dual Enrollment Credits
Archbold-Area Local,12259853.98,Fulton,"Archbold, OH, 43502-1656",Aaron M. Rex,C,48.7,82,51,14.5,36.0,5.0,15.5,0.0,24.5
Evergreen Local,14192800.7,Fulton,"Metamora, OH, 43540-9741",James A. Wyse,D,36.0,68,11,12.6,26.3,5.6,4.0,0.0,4.5
Fayette Local,5225381.03,Fulton,"Fayette, OH, 43521-9462",Erik M. Belcher,D,28.6,20,4,2.7,20.3,6.8,0.0,0.0,5.4
Pettisville Local,5106391.46,Fulton,"Pettisville, OH, 43553-0001",Stephen S. Switzer,C,55.5,43,14,16.5,48.2,2.4,3.5,0.0,14.1
Pike-Delta-York Local,12907078.94,Fulton,"Delta, OH, 43515-1204",Ted M. Haselman,D,37.1,59,26,8.3,26.7,5.6,0.0,0.0,17.8
Swanton Local,13387755.010000002,Fulton,"Swanton, OH, 43558-1032",Christopher M. Lake,D,28.1,62,22,11.5,16.4,7.4,4.9,0.0,20.1
Berkshire Local,13272815.84,Geauga,"Burton, OH, 44021-0364",John R. Stoddard,D,35.2,64,32,18.7,15.8,5.7,6.2,0.0,18.2
Cardinal Local,12538094.23,Geauga,"Middlefield, OH, 44062-0188",Scott J. Hunt,D,37.8,62,38,19.6,26.8,4.1,14.9,0.0,20.1
Chardon Local,32310551.57,Geauga,"Chardon, OH, 44024-1036",Michael P. Hanlon,C,57.5,260,124,27.7,46.0,4.1,18.4,0.0,17.4
Kenston Local,35664503.62,Geauga,"Chagrin Falls, OH, 44023-2730",Nancy R. Santilli,C,67.8,292,165,36.7,54.2,2.2,34.5,0.0,5.0
Newbury Local,6614933.1899999995,Geauga,"Newbury, OH, 44065-9702",Michelle R. Mrakovich,D,32.8,31,6,10.0,27.0,4.0,7.0,0.0,0.0
West Geauga Local,24605818.98,Geauga,"Chesterland, OH, 44026-3519",Richard A. Markwardt,C,59.8,209,133,26.2,47.6,2.2,24.3,0.0,13.9
Beavercreek City,88662431.96000001,Greene,"Beavercreek, OH, 45431-2644",Paul M. Otten,C,60.9,626,317,36.3,48.1,3.0,21.5,0.0,12.0
Cedar Cliff Local,5852650.29,Greene,"Cedarville, OH, 45314-8541",Chad D. Mason,C,64.4,54,41,18.4,51.5,1.0,10.7,0.0,51.5
Greeneview Local,12754446.93,Greene,"Jamestown, OH, 45335-1557",Isaac W. Seevers,D,39.2,80,13,24.3,24.3,9.3,4.2,0.0,4.7
Bellbrook-Sugarcreek Local,27753787.32,Greene,"Bellbrook, OH, 45305-8750",Keith A. St.Pierre,B,77.3,262,196,28.7,61.7,0.7,15.7,0.0,53.5
Rolling Hills Local,17396819.62,Guernsey,"Byesville, OH, 43723-0038",Ryan D. Caldwell,F,21.6,56,36,8.4,12.0,4.2,0.0,0.0,25.6
Finneytown Local,17727441.89,Hamilton,"Cincinnati, OH, 45231-4806",Theresa M. Noe,D,40.9,74,53,15.0,28.2,4.5,25.0,0.0,23.6
Forest Hills Local,77546448.35,Hamilton,"Cincinnati, OH, 45255-4307",Scot T. Prebles,B,73.6,687,511,40.7,57.8,0.9,47.2,0.0,1.9
Northwest Local,83985453.25,Hamilton,"Cincinnati, OH, 45239-5207",Todd D. Bowling,D,36.8,450,239,18.6,20.8,6.4,16.3,0.0,6.6
Northwest Local,83985453.25,Scioto,"Mc Dermott, OH, 45652-9000",Anthony T. Jenkins,D,25.1,54,15,3.0,14.6,7.3,0.0,0.0,10.7
Northwest Local,83985453.25,Stark,"Canal Fulton, OH, 44614-9389",Michael R. Shreffler,D,40.9,109,50,10.6,31.7,4.3,20.1,0.0,0.0
Oak Hills Local,74085659.54,Hamilton,"Cincinnati, OH, 45233-4555",Jeffrey T. Brandt,C,47.3,507,381,16.9,31.4,4.9,31.9,0.0,28.4
Southwest Local,33051154.880000003,Hamilton,"Harrison, OH, 45030-1444",John C. Hamstra,D,40.9,187,122,26.0,23.8,3.8,20.7,0.0,19.7
Three Rivers Local,19724089.200000003,Hamilton,"Cleves, OH, 45002-1024",Craig D. Hockenberry,D,44.9,108,59,16.8,32.9,5.4,23.6,0.0,5.7
Arcadia Local,6091180.76,Hancock,"Arcadia, OH, 44804-9714",Bruce A. Kidder,C,55.8,47,35,32.0,31.1,5.8,1.0,0.0,46.6
Arlington Local,5607949.35,Hancock,"Arlington, OH, 45814-6700",Kevin S. Haught,C,56.0,43,21,27.3,40.9,5.7,0.0,0.0,28.4
Cory-Rawson Local,7120696.49,Hancock,"Rawson, OH, 45881-9609",Robert A. Hlasko,D,37.4,30,1,13.6,25.9,11.1,0.0,0.0,3.7
Liberty-Benton Local,12397825.84,Hancock,"Findlay, OH, 45840-8811",Ronald Kowalski,C,64.0,106,86,30.6,44.7,5.8,0.0,0.0,61.2
McComb Local,7491441.129999999,Hancock,"McComb, OH, 45858-0877",Anthony D. Fenstermaker,D,38.3,35,6,13.5,24.0,11.5,0.0,0.0,8.3
Van Buren Local,11846439.59,Hancock,"Van Buren, OH, 45889-9720",Timothy L. Myers,C,53.8,79,11,28.8,45.1,5.9,3.3,0.0,5.2
Vanlue Local,2601854.4699999997,Hancock,"Vanlue, OH, 45890-0250",Traci L. Conley,C,66.3,22,15,40.0,27.5,15.0,0.0,0.0,40.0
Hardin Northern Local,5125235.04,Hardin,"Dola, OH, 45835-9706",Jeffrey S. Price,D,32.5,16,15,9.5,22.2,1.6,0.0,0.0,52.4
Ridgemont Local,5679082.88,Hardin,"Mount Victory, OH, 43340-8802",Ellen S. Darmer,D,27.4,15,12,10.3,14.7,4.4,0.0,0.0,42.6
Riverdale Local,10205199.280000001,Hancock,"Mt Blanchard, OH, 45867-9783",Jeffrey Young,D,43.2,56,32,19.1,23.0,9.9,3.3,0.0,40.8
Upper Scioto Valley Local,5420147.33,Hardin,"Mc Guffey, OH, 45859-0305",Miklos J. Kis,D,28.5,24,13,7.1,19.4,4.1,0.0,0.0,24.5
Conotton Valley Union Local,5138706.75,Harrison,"Sherrodsville, OH, 44675-0187",Jerry T. Herman,F,24.9,16,4,2.9,10.1,11.6,0.0,0.0,13.0
Holgate Local,5309046.44,Henry,"Holgate, OH, 43527-9802",Kelly J. Meyers,D,32.9,27,0,9.8,26.8,7.3,0.0,0.0,0.0
Liberty Center Local,12028703.46,Henry,"Liberty Center, OH, 43532-0434",Tod A. Hug,C,47.6,74,53,25.9,29.1,4.8,0.0,0.0,40.7
Patrick Henry Local,10836737.11,Henry,"Hamler, OH, 43524-9781",Thomas L. Taylor,D,43.6,51,35,14.2,29.1,7.1,0.0,0.0,30.5
Bright Local,7993985.2,Highland,"Mowrystown, OH, 45155-9998",Ted C. Downing,F,19.9,19,5,14.6,7.8,0.0,0.0,0.0,10.7
Fairfield Local,9756589.37,Highland,"Leesburg, OH, 45135-8601",William L. Garrett,F,22.3,27,9,7.5,15.8,3.8,0.0,0.0,11.3
Lynchburg-Clay Local,11388737.35,Highland,"Lynchburg, OH, 45142-0515",Brett Justice,D,29.6,50,22,16.2,19.9,1.6,2.1,0.0,17.8
East Holmes Local,18431947.25,Holmes,"Millersburg, OH, 44654-9136",Erik H. Beun,C,48.7,62,24,12.0,43.0,0.0,12.0,0.0,9.9
West Holmes Local,22494677.67,Holmes,"Millersburg, OH, 44654-1302",William W. Sterling,D,26.0,96,21,14.0,18.8,2.3,0.3,0.0,8.1
Monroeville Local,6479882.09,Huron,"Monroeville, OH, 44847-9797",Gaylord R. Moore,D,36.2,35,21,15.8,20.2,8.8,0.0,0.0,35.1
New London Local,9853151.14,Huron,"New London, OH, 44851-9262",Bradley A. Romano,D,35.2,48,31,12.3,21.5,8.0,8.6,0.0,31.3
South Central Local,9056778.43,Huron,"Greenwich, OH, 44837-9443",Benjamin H. Chaffee Jr,D,29.4,32,11,4.2,17.5,10.0,0.0,0.0,12.5
Western Reserve Local,12805732.93,Huron,"Collins, OH, 44826",Rodge F. Wilson,D,31.7,57,18,10.2,20.3,6.1,4.1,0.0,13.7
Western Reserve Local,12805732.93,Mahoning,"Berlin Center, OH, 44401-9752",Douglas E. Mcglynn,C,68.8,68,51,42.1,45.5,5.8,0.0,0.0,43.0
Oak Hill Union Local,12306380.92,Jackson,"Oak Hill, OH, 45656-1068",Michael A. McCoy,D,32.6,59,14,17.5,16.0,7.2,1.5,0.0,11.3
Buckeye Local,18794993.23,Ashtabula,"Ashtabula, OH, 44004-5967",Patrick E. Colucci,F,21.8,65,19,4.6,18.8,0.6,7.1,0.0,0.6
Buckeye Local,18794993.23,Jefferson,"Dillonvale, OH, 43917-7904",Kimberly D. Leonard,D,28.1,73,43,15.7,13.4,4.2,0.0,0.0,22.2
Buckeye Local,18794993.23,Medina,"Medina, OH, 44256-9411",Kent J. Morgan,C,53.4,168,70,16.4,36.2,12.7,6.8,0.0,17.8
Edison Local,18030000.02,Jefferson,"Hammondsville, OH, 43930-7902",George W. Beattie,D,29.0,68,50,10.5,15.7,6.3,0.0,0.0,49.0
Indian Creek Local,17776504.47,Jefferson,"Wintersville, OH, 43953-4231",Thomas C. Chappelear,F,21.7,66,16,9.2,13.8,5.5,3.1,0.0,5.8
Centerburg Local,10137822.77,Knox,"Centerburg, OH, 43011-7058",Michael Hebenthal,D,36.9,57,8,16.8,26.7,6.8,0.6,0.0,5.6
Danville Local,7326735.51,Knox,"Danville, OH, 43014-0030",Jason T. Snively,D,42.9,36,20,22.4,29.6,5.1,0.0,0.0,26.5
East Knox Local,8913035.92,Knox,"Howard, OH, 43028-9362",Stephen M. Larcomb,D,32.9,47,8,11.3,22.7,8.0,0.0,0.0,9.3
Fredericktown Local,10682283.99,Knox,"Fredericktown, OH, 43019-1272",Matthew W. Chrispin,D,28.6,40,19,9.4,20.0,4.4,8.1,0.0,6.9
Kirtland Local,14592735.33,Lake,"Kirtland, OH, 44094-9298",William R. Wade,C,69.3,108,81,36.6,54.5,0.5,33.0,0.0,24.6
Madison Local,27566552.84,Butler,"Middletown, OH, 45042-1525",Charles C. Philpot,D,42.2,97,28,18.8,29.2,8.8,0.0,0.0,14.0
Madison Local,27566552.84,Lake,"Madison, OH, 44057-2122",Angela M. Smith,D,33.6,150,84,17.4,21.5,3.4,12.3,0.0,10.2
Madison Local,27566552.84,Richland,"Mansfield, OH, 44905-2742",Shelley L. Hilderbrand,D,37.7,154,39,10.9,15.9,18.5,0.7,0.0,12.3
Riverside Local,41573221.22,Lake,"Painesville, OH, 44077-5323",James P. Kalis,D,37.5,221,114,12.0,27.9,4.0,13.8,0.0,11.6
Riverside Local,41573221.22,Logan,"De Graff, OH, 43318-9406",Scott M. Mann,F,21.2,18,7,2.1,11.6,6.3,0.0,0.0,25.3
Perry Local,25175487.55,Allen,"Lima, OH, 45806-9743",Alison R. Van Gorder,F,23.8,24,0,16.8,13.9,4.0,0.0,0.0,0.0
Perry Local,25175487.55,Lake,"Perry, OH, 44081-9413",Jack K. Thompson,C,58.2,145,103,37.4,40.1,1.7,28.5,0.0,25.8
Perry Local,25175487.55,Stark,"Massillon, OH, 44646-3447",Scott A. Beatty,D,43.2,275,209,13.4,25.6,9.9,15.0,0.1,34.7
Dawson-Bryant Local,12541034.83,Lawrence,"Coal Grove, OH, 45638-2947",Stephen L. Easterling,D,27.6,43,15,15.7,18.0,2.9,8.1,0.0,3.5
Fairland Local,14054332.64,Lawrence,"Proctorville, OH, 45669-8600",Roni D. Hayes,D,43.1,94,52,17.3,33.5,3.1,12.6,0.0,15.7
Rock Hill Local,18810152.919999998,Lawrence,"Ironton, OH, 45638-8385",Wesley L. Hairston,D,26.1,55,10,6.8,12.2,11.3,0.0,0.0,5.0
South Point Local,15724024.17,Lawrence,"South Point, OH, 45680",Mark A. Christian,F,24.9,50,19,8.5,17.0,3.1,4.5,0.0,12.1
Symmes Valley Local,9663174.81,Lawrence,"Willow Wood, OH, 45696-9015",Darrell A. Humphreys,D,26.7,36,2,16.8,13.9,5.1,0.0,0.0,2.2
Johnstown-Monroe Local,14273438.93,Licking,"Johnstown, OH, 43031-1297",Dale L. Dickson,D,39.3,89,53,15.4,27.3,4.9,3.4,0.0,24.0
Lakewood Local,21897358.240000002,Licking,"Hebron, OH, 43025-0070",Mary K. Andrews,D,37.2,99,61,16.8,21.9,6.0,14.9,0.0,23.2
Licking Heights Local,38173728.57,Licking,"Pataskala, OH, 43062-8767",Philip H. Wagner,D,32.9,121,80,18.8,18.1,2.9,15.6,0.0,16.8
Licking Valley Local,18633408.43,Licking,"Newark, OH, 43055-9450",David L. Hile,D,39.1,126,0,21.4,28.6,7.1,0.0,0.0,0.3
North Fork Local,15964191.370000001,Licking,"Utica, OH, 43080-0497",Scott L. Hartley,D,33.9,73,30,13.2,16.9,12.0,6.2,0.0,20.7
Northridge Local,12817264.879999999,Licking,"Johnstown, OH, 43031-9408",Scott A. Schmidt,C,47.6,94,66,11.3,29.3,10.0,17.2,0.0,40.2
Northridge Local,12817264.879999999,Montgomery,"Dayton, OH, 45414-4528",David A. Jackson,F,17.2,37,21,8.7,7.9,4.0,0.4,0.0,14.3
Southwest Licking Local,35444018.26,Licking,"Pataskala, OH, 43062",Robert T. Jennell,D,36.7,198,125,15.0,24.1,5.0,13.4,0.0,20.1
Benjamin Logan Local,18099686.91,Logan,"Bellefontaine, OH, 43311-9532",David L. Harmon,D,41.2,92,60,15.7,28.5,6.4,13.9,0.0,25.5
Indian Lake Local,16420405.309999999,Logan,"Lewistown, OH, 43333-9704",Robert J. Underwood,D,41.5,96,60,7.6,25.8,8.7,0.0,0.0,31.6
Riverside Local,6631259.01,Lake,"Painesville, OH, 44077-5323",James P. Kalis,D,37.5,221,114,12.0,27.9,4.0,13.8,0.0,11.6
Riverside Local,6631259.01,Logan,"De Graff, OH, 43318-9406",Scott M. Mann,F,21.2,18,7,2.1,11.6,6.3,0.0,0.0,25.3
Avon Local,38721255.26,Lorain,"Avon, OH, 44011-1507",Michael K. Laub Jr,B,70.8,325,245,36.6,54.7,0.4,31.3,0.0,33.6
Avon Lake City,40199577.5,Lorain,"Avon Lake, OH, 44012-1600",Robert D. Scott,B,73.6,325,279,33.3,57.1,0.9,50.8,0.0,25.6
Clearview Local,14787587.009999998,Lorain,"Lorain, OH, 44052-5542",Jerome M. Davis,F,14.6,35,25,5.8,5.8,3.1,0.0,0.0,23.0
Columbia Local,9793610.22,Lorain,"Columbia Station, OH, 44028-9441",Graig P. Bansek,D,35.8,53,30,13.9,24.3,4.6,5.8,0.0,20.2
Firelands Local,16347897.68,Lorain,"South Amherst, OH, 44001-2824",Michael J. Von Gunten,D,37.0,98,69,5.9,25.5,4.0,2.8,0.0,38.9
Keystone Local,13808064.309999999,Lorain,"Lagrange, OH, 44050-0065",Franco Gallo,D,33.0,81,42,8.5,25.4,2.5,3.9,0.0,22.9
Midview Local,28770993.48,Lorain,"Grafton, OH, 44044-1122",Bruce R. Willingham,D,36.5,143,102,12.8,24.4,3.8,4.0,0.0,34.7
Anthony Wayne Local,40965537.95,Lucas,"Whitehouse, OH, 43571-0487",James A. Fritz,C,48.7,279,116,27.1,33.0,2.9,9.1,0.0,21.6
Ottawa Hills Local,14064280.68,Lucas,"Toledo, OH, 43606-2425",Kevin S. Miller,A,95.4,122,86,47.1,77.4,0.0,58.7,0.0,6.5
Springfield Local,41045485.09,Lucas,"Holland, OH, 43528-9485",Matthew K. Geha,D,39.6,194,129,20.6,26.5,3.1,19.4,0.0,18.9
Springfield Local,41045485.09,Mahoning,"New Middletown, OH, 44442-0549",Thomas Yazvac,D,36.3,60,7,19.3,28.1,2.9,4.7,0.0,0.0
Springfield Local,41045485.09,Summit,"Akron, OH, 44312-4258",Charles Sincere,D,27.5,100,28,13.2,15.2,6.6,4.3,0.0,6.3
Washington Local,84338269.64,Lucas,"Toledo, OH, 43606-1231",Susan M. Hayward,D,29.2,237,192,10.9,15.1,5.9,4.0,0.0,52.6
Jefferson Local,13419553.07,Madison,"West Jefferson, OH, 43162-1144",William R. Mullett,D,41.7,70,14,25.8,22.5,9.6,7.9,0.0,0.0
Jonathan Alder Local,20620481.49,Madison,"Plain City, OH, 43064",Gary L. Chapman,C,52.7,141,68,23.5,40.2,6.5,11.1,0.0,22.2
Madison-Plains Local,13955375.58,Madison,"London, OH, 43140-9751",Timothy Dettwiller,D,27.9,49,18,15.9,19.5,2.6,1.5,0.0,13.3
Austintown Local Schools,43560270.06,Mahoning,"Youngstown, OH, 44515-3536",Vincent S. Colaluca,D,34.2,237,119,4.0,25.2,4.5,1.6,0.0,17.5
Boardman Local,42340302.61,Mahoning,"Youngstown, OH, 44512-5612",Timothy L. Saxton,D,42.4,244,144,18.2,31.9,2.7,26.7,0.0,0.6
Canfield Local,26153241.32,Mahoning,"Canfield, OH, 44406-1451",Alex G. Geordan,C,66.1,265,101,28.9,56.8,1.3,14.1,0.0,12.1
Jackson-Milton Local,8815426.34,Mahoning,"North Jackson, OH, 44451-9616",Kirk W. Baker,D,40.0,45,30,17.0,23.0,8.1,0.0,0.0,30.4
Lowellville Local,5470855.4,Mahoning,"Lowellville, OH, 44436",Eugene M. Thomas,D,38.5,38,8,24.8,30.5,3.8,0.0,0.0,10.5
Poland Local,19893582.68,Mahoning,"Poland, OH, 44514-2327",David R. Janofa,C,58.5,187,119,12.6,47.2,1.8,18.1,0.0,37.3
Sebring Local,5731305.6899999995,Mahoning,"Sebring, OH, 44672-1400",Antoinette C. Viscounte,F,22.1,18,13,12.1,11.1,3.0,0.0,0.0,33.3
South Range Local,12704083.25,Mahoning,"Canfield, OH, 44406-8485",Dennis J. Dunham,C,58.5,114,51,16.7,48.0,2.7,5.0,0.0,24.9
Springfield Local,10570701.19,Lucas,"Holland, OH, 43528-9485",Matthew K. Geha,D,39.6,194,129,20.6,26.5,3.1,19.4,0.0,18.9
Springfield Local,10570701.19,Mahoning,"New Middletown, OH, 44442-0549",Thomas Yazvac,D,36.3,60,7,19.3,28.1,2.9,4.7,0.0,0.0
Springfield Local,10570701.19,Summit,"Akron, OH, 44312-4258",Charles Sincere,D,27.5,100,28,13.2,15.2,6.6,4.3,0.0,6.3
West Branch Local,20257686.669999998,Mahoning,"Beloit, OH, 44609-9504",Timothy E. Saxton,D,40.5,111,78,15.1,27.4,4.8,0.0,0.0,36.7
Western Reserve Local,6309720.37,Huron,"Collins, OH, 44826",Rodge F. Wilson,D,31.7,57,18,10.2,20.3,6.1,4.1,0.0,13.7
Western Reserve Local,6309720.37,Mahoning,"Berlin Center, OH, 44401-9752",Douglas E. Mcglynn,C,68.8,68,51,42.1,45.5,5.8,0.0,0.0,43.0
Elgin Local,11025232.620000001,Marion,"Marion, OH, 43302-1110",Bruce M. Gast,D,29.8,45,32,13.1,13.1,7.1,0.0,0.0,41.0
Pleasant Local,9912593.5,Marion,"Marion, OH, 43302-8421",Jennifer L. Adams,C,56.0,79,65,17.0,38.1,4.5,0.6,0.0,57.4
Ridgedale Local,7562238.18,Marion,"Morral, OH, 43337-9302",Robert A. Britton,D,27.4,24,15,12.5,15.4,4.8,0.0,0.0,33.7
River Valley Local,18394706.619999997,Marion,"Caledonia, OH, 43314",James P. Peterson,D,28.5,62,54,10.9,14.2,4.0,0.0,0.0,71.9
Black River Local,12865540.530000001,Medina,"Sullivan, OH, 44880-9731",Chris A. Clark,C,45.9,81,48,12.5,25.5,13.0,1.4,0.0,26.9
Buckeye Local,21557488.619999997,Ashtabula,"Ashtabula, OH, 44004-5967",Patrick E. Colucci,F,21.8,65,19,4.6,18.8,0.6,7.1,0.0,0.6
Buckeye Local,21557488.619999997,Jefferson,"Dillonvale, OH, 43917-7904",Kimberly D. Leonard,D,28.1,73,43,15.7,13.4,4.2,0.0,0.0,22.2
Buckeye Local,21557488.619999997,Medina,"Medina, OH, 44256-9411",Kent J. Morgan,C,53.4,168,70,16.4,36.2,12.7,6.8,0.0,17.8
Cloverleaf Local,26258180.82,Medina,"Lodi, OH, 44254-9706",Daryl G. Kubilus Jr,D,42.8,174,72,15.5,27.1,10.1,10.9,0.0,9.2
Highland Local,29691433.35,Medina,"Medina, OH, 44256-7920",Catherine L. Aukerman,B,78.7,356,227,42.1,59.0,4.6,34.5,0.0,16.1
Highland Local,29691433.35,Morrow,"Marengo, OH, 43334-0098",Daniel W. Freund,D,33.5,69,47,13.7,17.7,3.2,10.1,0.0,31.5
Eastern Local,8042554.41,Brown,"Winchester, OH, 45697-9690",Michele R. Filon,F,23.2,38,21,5.8,17.3,2.6,1.0,0.0,17.8
Eastern Local,8042554.41,Meigs,"Reedsville, OH, 45772-9022",Steven P. Ohlinger,F,24.9,20,9,14.3,17.6,2.2,0.0,0.0,15.4
Eastern Local,8042554.41,Pike,"Beaver, OH, 45613-9435",Neil E. Leist,F,24.0,29,1,4.1,13.9,9.0,0.8,0.0,0.0
Meigs Local,22135484.3,Meigs,"Pomeroy, OH, 45769-9411",Scot F. Gheen,F,19.2,45,2,4.6,8.4,9.7,0.0,0.0,1.7
Southern Local,7550356.539999999,Columbiana,"Salineville, OH, 43945-9726",John S. Wilson,C,56.8,71,19,46.7,3.7,10.4,0.0,0.0,15.6
Southern Local,7550356.539999999,Meigs,"Racine, OH, 45771-8902",Anthony W. Deem,F,24.6,26,5,17.0,16.1,0.9,0.9,0.0,4.5
Southern Local,7550356.539999999,Perry,"Corning, OH, 43730-9710",Ralph G. Holbert,F,18.6,14,8,5.7,12.5,3.4,0.0,0.0,20.5
Marion Local,7960219.74,Mercer,"Maria Stein, OH, 45860-9710",Michael L. Pohlman,C,55.4,61,31,24.4,46.5,1.6,20.5,0.0,11.8
Parkway Local,12479046.21,Mercer,"Rockford, OH, 45882-9267",Jean M. Osterfeld,D,36.8,58,9,15.2,28.5,6.1,0.0,0.0,6.7
St Henry Consolidated Local,9283430.540000001,Mercer,"Saint Henry, OH, 45883-9574",Julie A. Garke,C,55.0,71,44,17.0,45.1,0.7,22.2,0.0,19.0
Fort Recovery Local,9826995.34,Mercer,"Fort Recovery, OH, 45846-0604",Justin M. Firks,C,48.6,60,25,14.4,41.0,0.0,15.1,0.0,5.0
Bethel Local,11044645.0,Miami,"Tipp City, OH, 45371-7316",Virginia D. Potter,D,43.5,57,32,12.4,29.4,7.8,16.3,0.0,27.5
Miami East Local,12177170.809999999,Miami,"Casstown, OH, 45312-9707",Todd A. Rappold,C,53.4,83,72,16.8,39.8,2.0,0.0,0.0,52.6
Newton Local,6392969.4,Miami,"Pleasant Hill, OH, 45359-0803",Pat L. McBride,C,46.8,33,32,16.5,31.9,3.3,0.0,0.0,80.2
Switzerland of Ohio Local,29098964.26,Monroe,"Woodsfield, OH, 43793-1256",Jeffrey S. Greenley,D,32.4,112,25,13.6,11.9,13.8,0.8,0.0,10.3
Brookville Local,13301657.719999999,Montgomery,"Brookville, OH, 45309-1621",Timothy L. Hopkins,C,61.0,121,97,23.6,39.4,9.8,7.7,0.0,57.3
Jefferson Township Local,5794400.42,Montgomery,"Dayton, OH, 45417-5535",Richard Gates,F,6.1,3,3,0.0,4.7,0.0,0.0,0.0,34.4
Trotwood-Madison City,31479259.31,Montgomery,"Trotwood, OH, 45426-3835",Kevin A. Bell,F,13.8,46,32,6.2,4.5,3.0,0.5,0.0,13.6
Mad River Local,44534797.7,Montgomery,"Dayton, OH, 45431-1238",Chad M. Wyen,F,18.3,65,47,5.8,14.1,0.2,4.6,0.0,42.3
New Lebanon Local,11250695.01,Montgomery,"New Lebanon, OH, 45345",Greg A. Williams,D,29.0,49,30,9.5,20.0,3.5,10.0,0.0,19.5
Northmont City,56271295.71,Montgomery,"Englewood, OH, 45322-2681",Anthony R. Thomas,D,44.6,292,189,16.8,31.1,5.6,12.2,0.0,31.9
Northridge Local,21121651.3,Licking,"Johnstown, OH, 43031-9408",Scott A. Schmidt,C,47.6,94,66,11.3,29.3,10.0,17.2,0.0,40.2
Northridge Local,21121651.3,Montgomery,"Dayton, OH, 45414-4528",David A. Jackson,F,17.2,37,21,8.7,7.9,4.0,0.4,0.0,14.3
Valley View Local,20077464.38,Montgomery,"Germantown, OH, 45327-1021",Richard S. Earley,D,36.0,99,13,14.0,27.6,5.2,2.8,0.0,3.8
Huber Heights City,59853250.769999996,Montgomery,"Huber Heights, OH, 45424-2943",Susan M. Gunnell,F,23.0,199,56,11.2,15.2,3.2,3.2,0.0,6.9
Morgan Local,21803471.28,Morgan,"Mc Connelsville, OH, 43756-0509",Lori A. Snyder-Lowe,F,22.3,62,19,5.9,17.1,3.3,0.0,0.0,7.9
Cardington-Lincoln Local,11706754.969999999,Morrow,"Cardington, OH, 43315-1121",Christopher B. Petrie,D,28.2,34,24,10.3,14.4,5.5,2.7,0.0,47.3
Highland Local,18269710.32,Medina,"Medina, OH, 44256-7920",Catherine L. Aukerman,B,78.7,356,227,42.1,59.0,4.6,34.5,0.0,16.1
Highland Local,18269710.32,Morrow,"Marengo, OH, 43334-0098",Daniel W. Freund,D,33.5,69,47,13.7,17.7,3.2,10.1,0.0,31.5
Northmor Local,10644369.14,Morrow,"Galion, OH, 44833-9742",Chad A. Redmon,D,32.5,54,0,6.0,24.1,8.4,0.0,0.0,0.0
East Muskingum Local,19274460.98,Muskingum,"New Concord, OH, 43762-9702",Jill R. Sheridan,D,40.6,107,75,14.4,31.0,1.6,11.3,0.0,29.5
Franklin Local,20776278.490000002,Muskingum,"Duncan Falls, OH, 43734-0428",Sharon A. McDermott,D,35.4,92,70,7.2,23.2,6.0,2.2,0.0,50.8
Maysville Local,20854956.33,Muskingum,"Zanesville, OH, 43701-7086",Ruth E. Zitnik,D,33.0,86,67,6.5,20.2,6.8,0.0,0.0,51.2
Tri-Valley Local,27956451.900000002,Muskingum,"Dresden, OH, 43821-9701",Mark K. Neal,D,41.8,168,91,9.9,29.8,6.4,10.1,0.0,25.3
West Muskingum Local,14477895.63,Muskingum,"Zanesville, OH, 43701-9390",Chad J. Shawger,D,39.6,76,69,12.7,27.5,1.6,16.4,0.0,53.7
Noble Local,12394274.02,Noble,"Sarahsville, OH, 43779-9702",Daniel C. Leffingwell,D,35.1,45,30,11.7,14.3,10.4,0.0,0.0,48.1
Benton Carroll Salem Local,17517710.04,Ottawa,"Oak Harbor, OH, 43449-1278",Guy L. Parmigian,D,34.1,87,37,11.8,23.6,6.3,0.0,0.0,16.0
Danbury Local,8839441.629999999,Ottawa,"Lakeside Marblehead, OH, 43440-1310",Daniel P. Parent,C,48.0,31,23,21.5,30.4,6.3,0.0,0.0,40.5
Genoa Area Local,11736991.22,Ottawa,"Genoa, OH, 43430-9730",Michael G. Ferguson,D,38.6,82,29,14.9,26.0,8.5,0.0,0.0,20.0
Middle Bass Local,107933.71,,,,,,,,,,,,,
North Bass Local,44952.36,,,,,,,,,,,,,
Put-In-Bay Local,2581440.8600000003,Ottawa,"Put In Bay, OH, 43456-0659",Steven J. Poe,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC
Antwerp Local,7921497.72,Paulding,"Antwerp, OH, 45813",Martin A. Miller,D,43.3,42,10,17.3,28.8,10.6,9.6,0.0,1.0
Wayne Trace Local,11229121.82,Paulding,"Haviland, OH, 45851-9738",Benjamin A. Winans,D,36.5,44,37,7.9,26.5,3.3,0.0,0.0,41.1
Northern Local,22778794.1,Perry,"Thornville, OH, 43076-9757",Thomas P. Perkins,D,36.2,113,95,17.9,18.2,2.8,7.7,0.0,35.5
Southern Local,9427379.469999999,Columbiana,"Salineville, OH, 43945-9726",John S. Wilson,C,56.8,71,19,46.7,3.7,10.4,0.0,0.0,15.6
