District,OperatingExpenditures,County,Address,"City, State, Zip",Superintendent,K3 Literacy Grade,K3 Literacy Percent,Total Students Off Track Point A,Total Students Moved to On Track Point B,RIMP Deductions,Current Year % of Kindergarteners Not on Track,Students Off Track Year 1,Students Moved to On Track Year 1,Students Off Track Year 2,Students Moved to On Track Year 2,Students off Track Year 3,Students Moved to On Track Year 3,Students Off Track  Year 4,Students Moved to On Track Year 4,% of 3rd Graders Meeting 3rd Grade Reading Guarantee
Northwestern Local,16372726.76,Clark,5610 Troy Rd,"Springfield, OH, 45502-9032",Jesse D. Steiner,C,32.5,83,27,NC,15.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Northwestern Local,16372726.76,Wayne,7571 N Elyria Rd,"West Salem, OH, 44287-9707",Jeffrey N. Layton,F,-71.4,21,0,28,7.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southeastern Local,8620286.03,Clark,226 Clifton Rd,"South Charleston, OH, 45368-9602",David M. Shea,B,73.6,53,39,NC,80.0,NC,NC,NC,NC,NC,NC,NC,NC,93.5
Southeastern Local,8620286.03,Ross,2003 Lancaster Rd,"Chillicothe, OH, 45601-8213",Brian Justice,D,11.4,70,8,12,15.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Clark-Shawnee Local,19642330.62,Clark,3680 Selma Rd,"Springfield, OH, 45502-6310",Gregg E. Morris,C,46.6,146,68,NC,29.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Batavia Local,19256718.18,Clermont,800 Bauer Ave,"Batavia, OH, 45103-1990",Keith D. Millard,C,36.3,113,41,NC,20.5,NC,NC,NC,NC,NC,NC,NC,NC,98.8
Bethel-Tate Local,13057675.36,Clermont,675 West Plane Street,"Bethel, OH, 45106",Melissa A. Kircher,C,35.9,92,33,NC,36.8,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Clermont Northeastern Local,16514671.309999999,Clermont,2792 Us Highway 50,"Batavia, OH, 45103-8532",Joseph M. Brandt,C,38.7,119,46,NC,34.5,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Felicity-Franklin Local,9699108.68,Clermont,PO Box 619,"Felicity, OH, 45120-0619",David R. Gibson,B,58.6,58,34,NC,62.8,NC,NC,NC,NC,NC,NC,NC,NC,98.3
Goshen Local,29139872.97,Clermont,6694 Goshen Rd,"Goshen, OH, 45122-9273",Darrell Edwards,B,55.1,147,81,NC,15.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
West Clermont Local,68598512.14,Clermont,4350 Aicholtz Rd,"Cincinnati, OH, 45245-1505",Keith Kline,C,44.6,596,266,NC,36.4,174,95,146,97,106,12,170,62,96.9
Williamsburg Local,8619263.469999999,Clermont,549A W Main St,"Williamsburg, OH, 45176-1110",Matthew D. Earley,C,46.7,45,21,NC,35.1,NC,NC,NC,NC,NC,NC,NC,NC,95.6
Blanchester Local,15959542.969999999,Clinton,951 Cherry St.,"Blanchester, OH, 45107-7846",Dean D. Lynch,B,67.3,52,35,NC,39.4,NC,NC,NC,NC,NC,NC,NC,NC,98.3
Clinton-Massie Local,15731397.84,Clinton,2556 Lebanon Rd,"Clarksville, OH, 45113-8201",Matthew P. Baker,B,58.8,97,57,NC,37.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
East Clinton Local,12976352.11,Clinton,97 Astro Way,"Sabina, OH, 45169-9521",Eric B. Magee,C,46.3,147,68,NC,36.3,NC,NC,NC,NC,NC,NC,NC,NC,93.2
Beaver Local,18114846.21,Columbiana,46088 Bell School Rd,"East Liverpool, OH, 43920-8774",Eric N. Lowe,B,52.8,125,66,NC,6.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Crestview Local,12340109.81,Columbiana,44100 Crestview Rd Ste A,"Columbiana, OH, 44408-9660",Matthew T. Manley,B,50.5,109,55,NC,44.7,NC,NC,NC,NC,NC,NC,NC,NC,93.0
Crestview Local,12340109.81,Richland,1575 State Route 96,"Ashland, OH, 44805-9262",Larry R. Dunlap,C,36.0,125,45,NC,54.4,NC,NC,NC,NC,NC,NC,NC,NC,97.1
Crestview Local,12340109.81,Van Wert,531 E Tully St,"Convoy, OH, 45832-8864",Michael Y. Estes,C,35.0,60,21,NC,36.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southern Local,11171991.41,Columbiana,38095 State Route 39,"Salineville, OH, 43945-9726",John S. Wilson,C,46.4,28,13,NC,51.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southern Local,11171991.41,Meigs,920 Elm St,"Racine, OH, 45771-8902",Anthony W. Deem,C,39.1,64,25,10,53.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southern Local,11171991.41,Perry,10397 State Route 155 SE # 1,"Corning, OH, 43730-9710",Ralph G. Holbert,F,-6.3,32,0,10,31.5,NC,NC,NC,NC,NC,NC,NC,NC,97.2
United Local,11907224.59,Columbiana,8143 State Route 9,"Hanoverton, OH, 44423-8618",Lance B. Hostetler,B,50.0,32,16,NC,20.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Ridgewood Local,12176196.28,Coshocton,301 S Oak St,"West Lafayette, OH, 43845-1339",Michael A. Masloski,C,33.3,69,23,NC,16.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
River View Local,21490409.97,Coshocton,26496 State Route 60,"Warsaw, OH, 43844-9714",Harry D. Summers,C,36.6,145,53,NC,37.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Buckeye Central Local,8032160.459999999,Crawford,938 S Kibler St,"New Washington, OH, 44854-9521",Mark A. Robinson,C,34.4,32,11,NC,60.0,NC,NC,NC,NC,NC,NC,NC,NC,96.2
Colonel Crawford Local,9066677.299999999,Crawford,2303 State Route 602,"North Robinson, OH, 44827-9711",William T. Martin,C,33.1,124,41,NC,42.0,NC,NC,NC,NC,NC,NC,NC,NC,98.3
Wynford Local,11592104.79,Crawford,3288 Holmes Center Rd,"Bucyrus, OH, 44820-9463",Frederick M. Fox,C,31.1,103,32,NC,23.0,NC,NC,NC,NC,NC,NC,NC,NC,88.5
Cuyahoga Heights Local,13343395.94,Cuyahoga,4820 E 71st St,"Cuyahoga Heights, OH, 44125-1043",Thomas Evans,C,26.0,73,19,NC,12.9,NC,NC,NC,NC,NC,NC,NC,NC,90.0
Independence Local,16196000.64,Cuyahoga,7733 Stone Rd,"Independence, OH, 44131-4813",Benjamin J. Hegedish,C,32.0,25,8,NC,21.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Olmsted Falls City,42976958.25,Cuyahoga,PO Box 38010,"Olmsted Falls, OH, 44138-0010",James L. Lloyd,C,47.6,82,39,NC,8.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Orange City,47643770.97,Cuyahoga,32000 Chagrin Blvd,"Cleveland, OH, 44124-5922",Edwin S. Holland,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Richmond Heights Local,12969425.43,Cuyahoga,447 Richmond Rd,"Richmond Heights, OH, 44143-1429",Renee T. Willis,C,25.3,99,25,NC,40.4,NC,NC,NC,NC,NC,NC,NC,NC,93.8
Solon City,67098305.47,Cuyahoga,33800 Inwood Dr,"Solon, OH, 44139-4133",Joseph V. Regano,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Ansonia Local,8320840.17,Darke,PO Box 279,"Ansonia, OH, 45303-0279",James R. Atchley,C,25.3,83,21,NC,20.9,NC,NC,NC,NC,NC,NC,NC,NC,87.5
Arcanum-Butler Local,10064755.379999999,Darke,2011 Trojan Ave,"Arcanum, OH, 45304-1381",Johnathan N. Stephens,C,37.8,127,48,NC,26.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Franklin Monroe Local,5878895.34,Darke,PO Box 78,"Pitsburg, OH, 45358-0078",Jeffrey M. Patrick,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Mississinawa Valley Local,7848881.22,Darke,1469 State Road 47 E,"Union City, OH, 45390-8628",Douglas E. Dunham,D,11.3,53,6,NC,76.1,NC,NC,NC,NC,NC,NC,NC,NC,95.6
Tri-Village Local,6792224.9799999995,Darke,315 S Main St,"New Madison, OH, 45346-9797",Joshua M. Sagester,C,30.9,55,17,NC,43.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Ayersville Local,8300663.62,Defiance,28046 Watson Rd,"Defiance, OH, 43512-8851",Donald F. Diglia,B,64.9,57,37,NC,26.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Central Local,10540571.55,Defiance,6289 Us Highway 127,"Sherwood, OH, 43556-9735",Vicki L. Brunn,C,32.9,70,23,NC,39.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Northeastern Local,11068010.17,Clark,1414 Bowman Rd,"Springfield, OH, 45502-8826",John P. Kronour,C,41.0,205,84,NC,43.4,64,40,35,11,44,15,62,18,96.7
Northeastern Local,11068010.17,Defiance,5921 Domersville Rd,"Defiance, OH, 43512-9121",James C. Roach,C,30.1,73,22,NC,65.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Big Walnut Local,37056821.19,Delaware,110 Tippett Ct,"Sunbury, OH, 43074-9334",Angela S. Pollock,B,53.2,468,249,NC,34.9,NC,NC,NC,NC,NC,NC,NC,NC,99.3
Buckeye Valley Local,23072744.46,Delaware,679 Coover Rd,"Delaware, OH, 43015-9562",Andrew J. Miller,B,53.0,132,70,NC,36.4,NC,NC,NC,NC,NC,NC,NC,NC,96.8
Olentangy Local,207924207.35999998,Delaware,7840 Graphics Way,"Lewis Center, OH, 43035-9078",Mark T. Raiff,C,43.2,421,182,NC,5.2,49,25,98,57,146,52,128,55,99.8
Edison Local (formerly Berlin-Milan),15291881.79,Erie,140 Main St S,"Milan, OH, 44846-9735",Thomas C. Roth,D,21.9,64,14,10,28.7,NC,NC,NC,NC,NC,NC,NC,NC,94.4
Kelleys Island Local,533176.4299999999,,,,,,,,,,,,,,,,,,,
Margaretta Local,14628601.81,Erie,305 S Washington St,"Castalia, OH, 44824-9263",Dennis R. Mock,C,43.5,92,40,NC,46.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Perkins Local,23246123.04,Erie,3714 Campbell St Ste B,"Sandusky, OH, 44870-7232",Jodie Hausmann,C,46.0,150,69,NC,36.5,NC,NC,NC,NC,NC,NC,NC,NC,95.1
Vermilion Local,20991110.15,Erie,1250 Sanford St,"Vermilion, OH, 44089-1577",Philip M. Pempin,C,44.6,56,25,NC,13.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Amanda-Clearcreek Local,17249341.34,Fairfield,328 E Main St,"Amanda, OH, 43102-9330",James B. Dick,B,51.5,202,104,NC,62.0,NC,NC,NC,NC,NC,NC,NC,NC,98.0
Berne Union Local,10570303.12,Fairfield,506 N Main St,"Sugar Grove, OH, 43155-0187",Richard R. Spindler,D,14.3,42,6,11,36.8,NC,NC,NC,NC,NC,NC,NC,NC,95.4
Bloom-Carroll Local,18495957.95,Fairfield,5240 Plum Rd,"Carroll, OH, 43112-9716",Shawn P. Haughn,B,54.1,61,33,NC,15.1,NC,NC,NC,NC,NC,NC,NC,NC,99.3
Fairfield Union Local,20122024.61,Fairfield,6417 Cincinnati Zanesville Rd NE,"Lancaster, OH, 43130-9323",Jon C. Belville,C,44.9,225,101,NC,37.8,46,14,76,43,55,19,48,25,100.0
Liberty Union-Thurston Local,13623277.32,Fairfield,1108 S Main St,"Baltimore, OH, 43105-9700",Todd S. Osborn,C,44.1,170,75,NC,16.4,37,21,48,23,43,15,42,16,96.5
Pickerington Local,112321805.42,Fairfield,90 East St.,"Pickerington, OH, 43147-1061",Chris M. Briggs,C,36.7,616,226,NC,34.5,128,75,136,39,179,46,173,68,93.4
Walnut Township Local,5898877.41,Fairfield,11850 Lancaster St,"Millersport, OH, 43046",Randall J. Cotner,B,50.0,50,25,NC,53.1,NC,NC,NC,NC,NC,NC,NC,NC,97.4
Miami Trace Local,26810441.75,Fayette,3818 State Route 41 NW,"Washington Court House, OH, 43160-9184",David L. Lewis,C,40.6,170,69,NC,18.8,NC,NC,NC,NC,NC,NC,NC,NC,97.5
Canal Winchester Local,39309232.56,Franklin,100 Washington St,"Canal Winchester, OH, 43110-1224",James Sotlar,C,34.4,337,116,NC,38.1,NC,NC,NC,NC,NC,NC,NC,NC,98.3
Hamilton Local,28778713.46,Franklin,775 Rathmell Rd,"Columbus, OH, 43207-4737",William J. Morrison,B,56.3,229,129,NC,40.0,NC,NC,NC,NC,NC,NC,NC,NC,96.7
Gahanna-Jefferson City,86813143.84,Franklin,160 S Hamilton Rd,"Gahanna, OH, 43230-2919",Stephen G. Barrett,C,29.2,383,112,30,22.2,49,18,124,47,108,44,102,33,97.4
Groveport Madison Local,66555206.47,Franklin,4400 Marketing Pl Ste B,"Groveport, OH, 43125-2009",Bruce A. Hoover,C,35.3,419,148,14,31.0,104,64,95,28,87,32,133,38,81.6
New Albany-Plain Local,55056240.19,Franklin,55 N High St,"New Albany, OH, 43054-7099",Michael L. Sawyers,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Reynoldsburg City,66087728.269999996,Franklin,7244 E Main St,"Reynoldsburg, OH, 43068-2014",Melvin Brown,C,35.6,492,175,19,30.2,110,40,82,40,118,30,182,84,95.9
Hilliard City,183974260.75,Franklin,2140 Atlas St,"Columbus, OH, 43228-9647",John C. Marschhausen,C,29.8,850,253,22,26.8,NC,NC,NC,NC,NC,NC,NC,NC,96.6
Dublin City,194985705.58999997,Franklin,7030 Coffman Rd,"Dublin, OH, 43017-1068",Todd F. Hoadley,C,40.1,382,153,NC,19.2,54,37,77,48,108,41,143,27,98.9
Archbold-Area Local,12259853.98,Fulton,600 Lafayette St,"Archbold, OH, 43502-1656",Aaron M. Rex,A,80.0,25,20,NC,34.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Evergreen Local,14192800.7,Fulton,14544 County Road 6,"Metamora, OH, 43540-9741",James A. Wyse,C,43.8,32,14,NC,25.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Fayette Local,5225381.03,Fulton,400 E Gamble Rd,"Fayette, OH, 43521-9462",Erik M. Belcher,A,86.4,22,19,NC,23.3,NC,NC,NC,NC,NC,NC,NC,NC,79.2
Pettisville Local,5106391.46,Fulton,Box 53001,"Pettisville, OH, 43553-0001",Stephen S. Switzer,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Pike-Delta-York Local,12907078.94,Fulton,504 Fernwood St,"Delta, OH, 43515-1204",Ted M. Haselman,B,52.3,65,34,NC,25.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Swanton Local,13387755.010000002,Fulton,108 N Main St,"Swanton, OH, 43558-1032",Christopher M. Lake,B,52.9,17,9,NC,49.3,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Berkshire Local,13272815.84,Geauga,PO Box 364,"Burton, OH, 44021-0364",John R. Stoddard,F,-6.7,30,0,11,8.6,NC,NC,NC,NC,NC,NC,NC,NC,98.8
Cardinal Local,12538094.23,Geauga,PO Box 188,"Middlefield, OH, 44062-0188",Scott J. Hunt,B,57.7,52,30,NC,14.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Chardon Local,32310551.57,Geauga,428 North St,"Chardon, OH, 44024-1036",Michael P. Hanlon,B,61.0,159,97,NC,18.3,35,19,53,37,32,15,39,26,100.0
Kenston Local,35664503.62,Geauga,17419 Snyder Rd,"Chagrin Falls, OH, 44023-2730",Nancy R. Santilli,B,63.0,27,17,NC,19.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Newbury Local,6614933.1899999995,Geauga,14775 Auburn Rd,"Newbury, OH, 44065-9702",Michelle R. Mrakovich,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
West Geauga Local,24605818.98,Geauga,8615 Cedar Rd,"Chesterland, OH, 44026-3519",Richard A. Markwardt,B,62.7,59,37,NC,24.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Beavercreek City,88662431.96000001,Greene,3040 Kemp Rd,"Beavercreek, OH, 45431-2644",Paul M. Otten,B,53.9,293,158,NC,11.0,NC,NC,NC,NC,NC,NC,NC,NC,99.4
Cedar Cliff Local,5852650.29,Greene,194 Walnut St,"Cedarville, OH, 45314-8541",Chad D. Mason,D,23.8,21,5,NC,32.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Greeneview Local,12754446.93,Greene,4 S Charleston Rd,"Jamestown, OH, 45335-1557",Isaac W. Seevers,C,43.8,153,67,NC,46.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Bellbrook-Sugarcreek Local,27753787.32,Greene,3757 Upper Bellbrook Rd,"Bellbrook, OH, 45305-8750",Keith A. St.Pierre,C,48.2,112,54,NC,15.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Rolling Hills Local,17396819.62,Guernsey,PO Box 38,"Byesville, OH, 43723-0038",Ryan D. Caldwell,B,51.0,155,79,NC,43.6,NC,NC,NC,NC,NC,NC,NC,NC,89.9
Finneytown Local,17727441.89,Hamilton,8916 Fontainebleau Ter,"Cincinnati, OH, 45231-4806",Theresa M. Noe,B,63.6,107,68,NC,37.4,NC,NC,NC,NC,NC,NC,NC,NC,96.9
Forest Hills Local,77546448.35,Hamilton,7946 Beechmont Ave,"Cincinnati, OH, 45255-4307",Scot T. Prebles,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,98.7
Northwest Local,83985453.25,Hamilton,3240 Banning Rd,"Cincinnati, OH, 45239-5207",Todd D. Bowling,C,27.4,602,165,NC,27.8,147,59,124,28,134,39,197,39,97.5
Northwest Local,83985453.25,Scioto,800 Mohawk Dr,"Mc Dermott, OH, 45652-9000",Anthony T. Jenkins,B,55.2,58,32,NC,40.5,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Northwest Local,83985453.25,Stark,2309 Locust St S,"Canal Fulton, OH, 44614-9389",Michael R. Shreffler,C,28.2,71,20,NC,10.1,NC,NC,NC,NC,NC,NC,NC,NC,90.8
Oak Hills Local,74085659.54,Hamilton,6325 Rapid Run Rd,"Cincinnati, OH, 45233-4555",Jeffrey T. Brandt,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southwest Local,33051154.880000003,Hamilton,230 S Elm St,"Harrison, OH, 45030-1444",John C. Hamstra,B,55.1,225,124,17,8.6,26,21,75,58,54,16,70,46,98.4
Three Rivers Local,19724089.200000003,Hamilton,401 N Miami Ave,"Cleves, OH, 45002-1024",Craig D. Hockenberry,B,53.7,147,79,NC,20.4,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Arcadia Local,6091180.76,Hancock,19033 State Route 12,"Arcadia, OH, 44804-9714",Bruce A. Kidder,C,42.1,19,8,NC,10.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Arlington Local,5607949.35,Hancock,336 S Main St,"Arlington, OH, 45814-6700",Kevin S. Haught,C,42.9,14,6,NC,15.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Cory-Rawson Local,7120696.49,Hancock,3930 County Road 26,"Rawson, OH, 45881-9609",Robert A. Hlasko,C,46.4,28,13,NC,37.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Liberty-Benton Local,12397825.84,Hancock,9190 County Road 9,"Findlay, OH, 45840-8811",Ronald Kowalski,B,52.7,91,48,NC,11.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
McComb Local,7491441.129999999,Hancock,328 S Todd St,"McComb, OH, 45858-0877",Anthony D. Fenstermaker,C,48.1,27,13,NC,8.3,NC,NC,NC,NC,NC,NC,NC,NC,98.0
Van Buren Local,11846439.59,Hancock,217 S Main St,"Van Buren, OH, 45889-9720",Timothy L. Myers,A,80.0,55,44,NC,11.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Vanlue Local,2601854.4699999997,Hancock,PO Box 250,"Vanlue, OH, 45890-0250",Traci L. Conley,D,6.7,15,1,NC,14.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Hardin Northern Local,5125235.04,Hardin,11589 State Route 81,"Dola, OH, 45835-9706",Jeffrey S. Price,B,56.5,62,35,NC,58.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Ridgemont Local,5679082.88,Hardin,560 Taylor St W,"Mount Victory, OH, 43340-8802",Ellen S. Darmer,B,50.0,66,33,NC,22.5,NC,NC,NC,NC,NC,NC,NC,NC,97.0
Riverdale Local,10205199.280000001,Hancock,20613 State Route 37,"Mt Blanchard, OH, 45867-9783",Jeffrey Young,B,61.6,112,69,NC,22.4,30,29,24,15,35,15,23,10,100.0
Upper Scioto Valley Local,5420147.33,Hardin,PO Box 305,"Mc Guffey, OH, 45859-0305",Miklos J. Kis,C,42.9,49,21,NC,64.7,NC,NC,NC,NC,NC,NC,NC,NC,97.4
Conotton Valley Union Local,5138706.75,Harrison,PO Box 187,"Sherrodsville, OH, 44675-0187",Jerry T. Herman,C,48.0,25,12,NC,34.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Holgate Local,5309046.44,Henry,801 Joe E Brown Ave,"Holgate, OH, 43527-9802",Kelly J. Meyers,B,57.1,42,24,NC,8.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Liberty Center Local,12028703.46,Henry,PO Box 434,"Liberty Center, OH, 43532-0434",Tod A. Hug,C,32.8,58,19,NC,26.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Patrick Henry Local,10836737.11,Henry,6900 State Route 18,"Hamler, OH, 43524-9781",Thomas L. Taylor,C,42.9,35,15,NC,22.8,NC,NC,NC,NC,NC,NC,NC,NC,91.0
Bright Local,7993985.2,Highland,PO Box 299,"Mowrystown, OH, 45155-9998",Ted C. Downing,C,31.5,73,23,NC,47.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Fairfield Local,9756589.37,Highland,11611 State Route 771,"Leesburg, OH, 45135-8601",William L. Garrett,B,56.3,71,40,NC,12.1,NC,NC,NC,NC,NC,NC,NC,NC,95.7
Lynchburg-Clay Local,11388737.35,Highland,PO Box 515,"Lynchburg, OH, 45142-0515",Brett Justice,B,51.3,115,59,NC,13.0,NC,NC,NC,NC,NC,NC,NC,NC,98.8
East Holmes Local,18431947.25,Holmes,6108 County Road 77,"Millersburg, OH, 44654-9136",Erik H. Beun,C,40.0,20,8,NC,16.3,NC,NC,NC,NC,NC,NC,NC,NC,99.2
West Holmes Local,22494677.67,Holmes,28 W Jackson St,"Millersburg, OH, 44654-1302",William W. Sterling,C,31.3,112,35,NC,47.2,NC,NC,NC,NC,NC,NC,NC,NC,99.3
Monroeville Local,6479882.09,Huron,101 West St,"Monroeville, OH, 44847-9797",Gaylord R. Moore,D,5.3,19,1,NC,17.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
New London Local,9853151.14,Huron,2 Wildcat Dr,"New London, OH, 44851-9262",Bradley A. Romano,C,30.9,81,25,NC,29.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
South Central Local,9056778.43,Huron,3305 Greenwich Angling Rd,"Greenwich, OH, 44837-9443",Benjamin H. Chaffee Jr,D,8.8,34,3,12,15.2,NC,NC,NC,NC,NC,NC,NC,NC,88.9
Western Reserve Local,12805732.93,Huron,3765 US Rt 20,"Collins, OH, 44826",Rodge F. Wilson,B,54.5,99,54,27,28.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Western Reserve Local,12805732.93,Mahoning,13850 W Akron Canfield Rd,"Berlin Center, OH, 44401-9752",Douglas E. Mcglynn,B,63.2,19,12,NC,61.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Oak Hill Union Local,12306380.92,Jackson,205 Western Ave,"Oak Hill, OH, 45656-1068",Michael A. McCoy,C,31.7,123,39,NC,19.7,NC,NC,NC,NC,NC,NC,NC,NC,98.7
Buckeye Local,18794993.23,Ashtabula,3436 Edgewood Dr,"Ashtabula, OH, 44004-5967",Patrick E. Colucci,C,39.7,194,77,NC,40.3,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Buckeye Local,18794993.23,Jefferson,6899 State Highway 150,"Dillonvale, OH, 43917-7904",Kimberly D. Leonard,C,34.0,97,33,NC,44.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Buckeye Local,18794993.23,Medina,3044 Columbia Rd,"Medina, OH, 44256-9411",Kent J. Morgan,C,37.6,141,53,NC,24.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Edison Local,18030000.02,Jefferson,14890 State Route 213,"Hammondsville, OH, 43930-7902",George W. Beattie,C,32.7,113,37,13,45.2,NC,NC,NC,NC,NC,NC,NC,NC,92.9
Indian Creek Local,17776504.47,Jefferson,587 Bantam Ridge Rd,"Wintersville, OH, 43953-4231",Thomas C. Chappelear,C,38.8,227,88,18,42.6,NC,NC,NC,NC,NC,NC,NC,NC,98.1
Centerburg Local,10137822.77,Knox,119 S Preston St,"Centerburg, OH, 43011-7058",Michael Hebenthal,B,54.7,64,35,NC,48.1,NC,NC,NC,NC,NC,NC,NC,NC,92.9
Danville Local,7326735.51,Knox,PO Box 30,"Danville, OH, 43014-0030",Jason T. Snively,C,34.4,61,21,NC,34.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
East Knox Local,8913035.92,Knox,23201 Coshocton Rd,"Howard, OH, 43028-9362",Stephen M. Larcomb,C,43.8,48,21,NC,32.7,NC,NC,NC,NC,NC,NC,NC,NC,98.1
Fredericktown Local,10682283.99,Knox,117 Columbus Rd,"Fredericktown, OH, 43019-1272",Matthew W. Chrispin,C,29.9,177,53,NC,60.2,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Kirtland Local,14592735.33,Lake,9252 Chillicothe Rd,"Kirtland, OH, 44094-9298",William R. Wade,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Madison Local,27566552.84,Butler,1324 Middletown Eaton Rd,"Middletown, OH, 45042-1525",Charles C. Philpot,C,39.8,93,37,NC,39.2,NC,NC,NC,NC,NC,NC,NC,NC,96.2
Madison Local,27566552.84,Lake,1956 Red Bird Rd,"Madison, OH, 44057-2122",Angela M. Smith,C,42.9,156,67,NC,40.7,NC,NC,NC,NC,NC,NC,NC,NC,91.2
Madison Local,27566552.84,Richland,1379 Grace St,"Mansfield, OH, 44905-2742",Shelley L. Hilderbrand,B,59.4,138,82,NC,55.1,NC,NC,NC,NC,NC,NC,NC,NC,87.4
Riverside Local,41573221.22,Lake,585 Riverside Dr,"Painesville, OH, 44077-5323",James P. Kalis,C,26.3,179,47,18,45.2,NC,NC,NC,NC,NC,NC,NC,NC,97.1
Riverside Local,41573221.22,Logan,2096 County Road 24 S,"De Graff, OH, 43318-9406",Scott M. Mann,C,42.4,85,36,NC,27.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Perry Local,25175487.55,Allen,2770 E Breese Rd,"Lima, OH, 45806-9743",Alison R. Van Gorder,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,85.7
Perry Local,25175487.55,Lake,4325 Manchester Ave,"Perry, OH, 44081-9413",Jack K. Thompson,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,97.2
Perry Local,25175487.55,Stark,4201 13th St SW,"Massillon, OH, 44646-3447",Scott A. Beatty,B,49.5,321,159,NC,32.0,80,61,44,17,77,21,120,62,100.0
Dawson-Bryant Local,12541034.83,Lawrence,222 Lane St,"Coal Grove, OH, 45638-2947",Stephen L. Easterling,B,64.4,73,47,NC,45.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
